consignnote,courier,state,weigh,total,datepickup
SPT24022722,1,"NEGERI SEMBILAN",39.00,37.2100,"2024-10-09 00:00:00"
MYCQY00009127,5,PERAK,1.00,9.0100,"2024-10-11 00:00:00"
SPT24022723,1,JOHOR,260.00,192.9200,"2024-10-08 00:00:00"
AOR24001545,1,,5.95,6.3600,"2024-10-08 00:00:00"
MYCQY00009128,5,PERAK,2.55,7.9500,"2024-10-08 00:00:00"
MYCQY00009129,5,PERAK,16.41,24.2700,"2024-10-08 00:00:00"
MYCQY00009130,5,PERAK,7.30,13.7800,"2024-10-08 00:00:00"
SPT24022724,1,SELANGOR,2.73,7.9500,"2024-10-08 00:00:00"
SPT24022725,1,SELANGOR,6.67,12.6100,"2024-10-08 00:00:00"
SPT24022726,1,SELANGOR,14.78,24.7000,"2024-10-08 00:00:00"
MYCQY00009131,5,TERENGGANU,1.37,6.7800,"2024-10-08 00:00:00"
SPT24022727,1,SELANGOR,5.72,11.4500,"2024-10-08 00:00:00"
SPT24022728,1,"PULAU PINANG",33.10,46.7500,"2024-10-08 00:00:00"
SPT24022729,1,KEDAH,4.87,10.2800,"2024-10-08 00:00:00"
SPT24022730,1,"KUALA LUMPUR",25.00,23.8500,"2024-10-09 00:00:00"
SPT24022731,1,JOHOR,82.00,78.2300,"2024-10-09 00:00:00"
SPT24022732,1,SELANGOR,17.00,24.2700,"2024-10-08 00:00:00"
SPT24022733,1,PAHANG,34.00,43.2500,"2024-10-08 00:00:00"
SPT24022734,1,JOHOR,184.00,177.0000,"2024-10-08 00:00:00"
SPT24022735,1,"KUALA LUMPUR",1.00,6.1000,"2024-10-08 00:00:00"
SPT24022736,1,"KUALA LUMPUR",20.00,16.9600,"2024-10-08 00:00:00"
SPT24022737,1,JOHOR,68.98,32.4400,"2024-10-08 00:00:00"
SPT24022738,1,SELANGOR,156.00,153.4000,"2024-10-08 00:00:00"
SPT24022739,1,JOHOR,526.21,226.6300,"2024-10-08 00:00:00"
MYCQY00009132,5,PAHANG,14.28,21.9400,"2024-10-08 00:00:00"
SPT24022740,1,"PULAU PINANG",7.20,13.7800,"2024-10-08 00:00:00"
SPT24022741,1,SELANGOR,15.70,18.1300,"2024-10-08 00:00:00"
MYCQY00009133,5,PERAK,46.86,55.6500,"2024-10-08 00:00:00"
SPT24022742,1,JOHOR,12.15,19.6100,"2024-10-08 00:00:00"
SPT24022743,1,"PULAU PINANG",7.00,12.6100,"2024-10-08 00:00:00"
SPT24022744,1,SELANGOR,26.00,22.0500,"2024-10-08 00:00:00"
MYCQY00009134,5,SELANGOR,18.79,28.5100,"2024-10-08 00:00:00"
SPT24022745,1,SELANGOR,0.90,6.7800,"2024-10-08 00:00:00"
SPT24022746,1,SELANGOR,37.10,47.0600,"2024-10-08 00:00:00"
SPT24022747,1,SELANGOR,114.00,118.0800,"2024-10-08 00:00:00"
SPT24022748,1,SELANGOR,180.00,133.5600,"2024-10-08 00:00:00"
SPT24022749,1,SELANGOR,40.80,49.9300,"2024-10-08 00:00:00"
SPT24022750,1,MELAKA,95.00,90.6300,"2024-10-09 00:00:00"
SPT24022751,1,"KUALA LUMPUR",2.30,7.9500,"2024-10-08 00:00:00"
SPT24022752,1,SELANGOR,180.00,133.5600,"2024-10-08 00:00:00"
SBG24004262,1,SELANGOR,0.50,12.0800,"2024-10-09 00:00:00"
SPT24022754,1,JOHOR,3.09,9.1200,"2024-10-08 00:00:00"
MYCQY00009135,5,SELANGOR,0.65,6.7800,"2024-10-08 00:00:00"
MYCQY00009136,5,SELANGOR,101.66,107.9100,"2024-10-08 00:00:00"
SBG24004263,1,"KUALA LUMPUR",0.50,12.0800,"2024-10-09 00:00:00"
SPT24022755,1,JOHOR,17.00,16.2200,"2024-10-09 00:00:00"
SPT24022756,1,KELANTAN,608.58,451.8800,"2024-10-08 00:00:00"
SPT24022757,1,SELANGOR,101.51,118.4000,"2024-10-08 00:00:00"
SPT24022758,1,JOHOR,79.40,95.5100,"2024-10-08 00:00:00"
SPT24022759,1,JOHOR,22.00,20.9900,"2024-10-09 00:00:00"
SPT24022761,1,JOHOR,161.70,169.2800,"2024-10-08 00:00:00"
SPT24022762,1,JOHOR,785.01,336.0200,"2024-10-09 00:00:00"
SPT24022763,1,SELANGOR,10.60,17.2800,"2024-10-08 00:00:00"
SPT24022764,1,KEDAH,52.35,66.8900,"2024-10-08 00:00:00"
SPT24022765,1,SELANGOR,0.55,6.8900,"2024-10-08 00:00:00"
SPT24022766,1,PERAK,11.00,10.4900,"2024-10-09 00:00:00"
SPT24022767,1,"KUALA LUMPUR",5.30,11.4500,"2024-10-08 00:00:00"
SPT24022768,1,SELANGOR,16.60,24.2700,"2024-10-08 00:00:00"
SPT24022769,1,"KUALA LUMPUR",140.40,140.7700,"2024-10-08 00:00:00"
SPT24022770,1,SELANGOR,3.00,5.3000,"2024-10-09 00:00:00"
SPT24022771,1,JOHOR,18.20,26.6100,"2024-10-08 00:00:00"
SPT24022772,1,SELANGOR,16.00,23.1100,"2024-10-08 00:00:00"
SPT24022773,1,MELAKA,1.00,6.8900,"2024-10-09 00:00:00"
SPT24022774,1,"KUALA LUMPUR",162.00,158.4600,"2024-10-08 00:00:00"
SPT24022775,1,"KUALA LUMPUR",52.50,61.3700,"2024-10-08 00:00:00"
SPT24022776,1,"KUALA LUMPUR",43.00,36.4600,"2024-10-09 00:00:00"
SPT24022777,1,SELANGOR,1.00,6.8900,"2024-10-09 00:00:00"
SPT24022778,1,"PULAU PINANG",2.30,7.9500,"2024-10-09 00:00:00"
SBG24004264,1,KEDAH,201.72,222.7100,"2024-10-15 00:00:00"
SPT24022780,1,JOHOR,3.50,12.8300,"2024-10-11 00:00:00"
JHB24001152,1,SELANGOR,9.60,22.7900,"2024-10-09 00:00:00"
JHB24001153,1,JOHOR,9.60,22.7900,"2024-10-09 00:00:00"
SPT24022781,1,"NEGERI SEMBILAN",14.86,21.9400,"2024-10-09 00:00:00"
SPT24022784,1,"KUALA LUMPUR",15.00,14.3100,"2024-10-10 00:00:00"
SPT24022785,1,JOHOR,51.00,48.6500,"2024-10-09 00:00:00"
MYCQY00009140,5,SELANGOR,3.82,5.3000,"2024-10-09 00:00:00"
SPT24022786,1,"PULAU PINANG",9.70,16.1100,"2024-10-09 00:00:00"
